学号,姓名,登录名,年龄段,职业,自我介绍,所属班级,对应老师,AI基线分析,教师标签,长期观察,学习建议
s76,阎梓,stu_s76,25-34,电商运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s77,薛瑞,stu_s77,35-44,内容运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s78,尹乐婷,stu_s78,35-44,流程优化师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s79,段敏,stu_s79,35-44,IT 支持,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s80,王勇,stu_s80,45-54,运营经理,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，先掌握基础操作。,cl4·AI智能体-工作流,赵老师,,,,
s81,李霞雯,stu_s81,35-44,产品经理,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s82,张雪,stu_s82,25-34,连续创业者,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s83,刘悦,stu_s83,25-34,独立开发者,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s84,陈轩彤,stu_s84,25-34,数据分析师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s85,杨宸,stu_s85,35-44,自动化工程师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s86,赵娜,stu_s86,35-44,电商运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s87,黄洋颖,stu_s87,35-44,内容运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s88,周超,stu_s88,45-54,流程优化师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，先掌握基础操作。,cl4·AI智能体-工作流,赵老师,,,,
s89,吴婷,stu_s89,35-44,IT 支持,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s90,徐欣露,stu_s90,25-34,运营经理,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s91,孙航,stu_s91,25-34,产品经理,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s92,马泽,stu_s92,25-34,连续创业者,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s93,朱芳萌,stu_s93,35-44,独立开发者,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s94,胡军,stu_s94,35-44,数据分析师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s95,林明,stu_s95,35-44,自动化工程师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s96,郭俊蕊,stu_s96,45-54,电商运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，先掌握基础操作。,cl4·AI智能体-工作流,赵老师,,,,
s97,何浩,stu_s97,35-44,内容运营,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，真正用起来提效。,cl4·AI智能体-工作流,赵老师,,,,
s98,高诺,stu_s98,25-34,流程优化师,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s99,罗熙蕾,stu_s99,25-34,IT 支持,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
s100,郑伟,stu_s100,25-34,运营经理,对智能体与自动化工作流感兴趣，想用 AI 搭建自动化流程提效，并希望向团队推广。,cl4·AI智能体-工作流,赵老师,,,,
