学号,姓名,登录名,年龄段,职业,自我介绍,所属班级,对应老师,AI基线分析,教师标签,长期观察,学习建议
s26,韩梓,stu_s26,25-34,电商美工,日常做电商美工，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s27,冯瑞颖,stu_s27,25-34,影视后期,日常做影视后期，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s28,邓乐,stu_s28,25-34,动画设计师,日常做动画设计师，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s29,曹敏,stu_s29,35-44,视觉设计师,日常做视觉设计师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s30,彭勇露,stu_s30,35-44,摄影师,日常做摄影师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s31,曾霞,stu_s31,35-44,视频剪辑师,日常做视频剪辑师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s32,萧雪,stu_s32,45-54,平面设计师,日常做平面设计师，想用 AI 提升图像与视频创作效率，先掌握基础操作。,cl2·AI图像-视频,李老师,,,,
s33,田悦萌,stu_s33,35-44,短视频创作者,日常做短视频创作者，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s34,董轩,stu_s34,25-34,自媒体博主,日常做自媒体博主，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s35,袁宸,stu_s35,25-34,插画师,日常做插画师，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s36,潘娜蕊,stu_s36,25-34,电商美工,日常做电商美工，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s37,于洋,stu_s37,35-44,影视后期,日常做影视后期，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s38,蒋超,stu_s38,35-44,动画设计师,日常做动画设计师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s39,蔡婷蕾,stu_s39,35-44,视觉设计师,日常做视觉设计师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s40,余欣,stu_s40,45-54,摄影师,日常做摄影师，想用 AI 提升图像与视频创作效率，先掌握基础操作。,cl2·AI图像-视频,李老师,,,,
s41,杜航,stu_s41,35-44,视频剪辑师,日常做视频剪辑师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s42,叶泽菲,stu_s42,25-34,平面设计师,日常做平面设计师，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s43,程芳,stu_s43,25-34,短视频创作者,日常做短视频创作者，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s44,苏军,stu_s44,25-34,自媒体博主,日常做自媒体博主，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
s45,魏明怡,stu_s45,35-44,插画师,日常做插画师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s46,吕俊,stu_s46,35-44,电商美工,日常做电商美工，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s47,丁浩,stu_s47,35-44,影视后期,日常做影视后期，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s48,任诺彤,stu_s48,45-54,动画设计师,日常做动画设计师，想用 AI 提升图像与视频创作效率，先掌握基础操作。,cl2·AI图像-视频,李老师,,,,
s49,沈熙,stu_s49,35-44,视觉设计师,日常做视觉设计师，想用 AI 提升图像与视频创作效率，真正用起来提效。,cl2·AI图像-视频,李老师,,,,
s50,姚伟,stu_s50,25-34,摄影师,日常做摄影师，想用 AI 提升图像与视频创作效率，并希望向团队推广。,cl2·AI图像-视频,李老师,,,,
